id;pageCat;imageCat;numberCat;"Anzahl der Bände bzw.  ""tomi"" lt. hs. Katalog";"Erschienene Teile insgesamt =  ""comment"" zum Werk";"davon vorhanden = ""comment"" zum Expl. lt. Katalog";titleCat;titleBib;author1;author2;author3;author4;contributor1;contributor2;contributor3;contributor4;contributor5;place1;place2;place3;publisher1;publisher2;publisher3;year;format;histSubject;subjects;genres;mediaType;languages;systemManifestation;idManifestation;institutionOriginal;shelfmarkOriginal;provenanceAttribute;digitalCopyOriginal;targetOPAC;searchID;titleWork;systemWork;idWork;bound;comment;digitalCopy;copiesHAB
11;3;00009;10;;;;Heilsame Worte von der Pflicht eines gläubigen Vertrauens auff Gott, von A. A. Oesterreich. 1731;Heilsame Worte Von der Pflicht Eines Gläubigen Vertrauens auf Gott! / Mit Nöthigen Summarien und Registern...niedergeschrieben und mitgetheilet von Anton August Oesterreich, Past. zu Obern- und Niedern-Sickte ;Oesterreich, Anton August#1020215097m;;;;Schmidt, Georg#122090357m [STECHER];Ludwig Rudolf <Braunschweig-Lüneburg, Herzog>#124700470m [WIDMUNGSEMPFÄNGER];;;;Hannover#getty7013260;;;Förster, Nikolaus#12938366Xm;;;1731;4°;Catalogus I;Theologie;Erbauungsliteratur;Druck;ger;VD18;10763244;Herzog August Bibliothek;M: Th 1942;;http://nbn-resolving.de/urn:nbn:de:gbv:23-drucke/th-19421;;;;;;;;;
12;3;00009;11;;;;Vollständig Braunschweigisches Gesang=Buch. Braunschweig 1724. in groß oct:;"Vollständig Braunschweigisches Gesang-Buch: Darin nicht allein alle Des seligen Herrn Lutheri und anderer erleuchteten Männer Geistreiche Kirchen-Gesänge, Sondern auch Viele schöne Lieder, so theils aus andern gezogen, theils auch vorhin nie in Druck gekommen, befindlich sind; Also eingerichtet, Daß es auch in benachbahrten Fürstenthümern bequem zu gebrauchen, Mit bekanten Melodeyen und dreyen nützlichen Registern versehen; Nebst einem andächtigen Gebeht-Büchlein,..";Luther, Martin#118575449m;;;;Schmidt, Johann Georg#129243051m [BEITRÄGER];;;;;Braunschweig#getty7004434;;;Meyer, Friedrich Wilhelm#1037501683m;;;1724;8°;Catalogus I;Theologie;Gesangbuch;Druck;ger;GBV;150943342;;;;;;;;;;;;http://purl.uni-rostock.de/rosdok/ppn866452338;
13;3;00009;12;;;;Abr: Wiegners andachten über die Heil: Paßion Jesu Christi. Leipzig 1724.;Nöthige Freytags-Arbeit, Oder Catechetische Fragen, und Zwey und funfzig geistreiche Andachten über die Heil. Paßion Jesu Christ : Nach welchen Eine iede durch das Blut Jesu theuer erkauffte und den gecreutzigten Jesum hertzlich-liebende Seele aus schuldiger Danckbarkeit Jeglichen Freytag im gantzen Jahre Zum seeligen Gedächtniß-Tag ihres leidenden und sterbenden Heylandes machen, Oder an jedem Freytage allemahl ein gewisses Stücke des Leidens Jesu in Frage und Antwort deutlich erlernen, mit einer besondern Andacht sich darüber belustigen, und in einem schönen Kupffer das grosse Schmertzens-Bild zugleich sich vor die Augen legen kan / Dem gecreutzigten Jesu zu Ehren, und allen Freunden des Creutzes Jesu zum nöthigen Unterricht und Belustigung verfertiget von M. Abraham Wiegnern, Pastore zu Auligk ;Wiegner, Abraham#142875090m;;;;;;;;;Leipzig#getty7139158;;;Martini, Johann Christian#142553816m;;;1724;4°;Catalogus I;Theologie;Katechismus | Gebetbuch;Druck;ger;VD18;11522615;;;;;;;;;;;;http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10347750-0;
14;3;00009;13;;;;C. A. Salig de Diptychis veterum. Halae 1731;Christiani Augusti Salig De Diptychis Veterum, Tam Profanis, Quam Sacris, Liber Singularis: Variis, Ex Omni Antiquitate, Praesertim Ecclesiastica, De Oblationibus, Martyribus, Martyrologiis, Kalendariis, Litaniis, Necrologiis, De Origine Missae Et Invocationis Sanctorum, Observationibus Illustratus: Scriptus Ex Bibliotheca Wolferbytana;Salig, Christian August#124953204m;;;;;;;;;Halle/Saale#getty1036898;;;;;;1731;4°;Catalogus I;Theologie;Altertumskunde;Druck;lat;VD18;10250123;;;;;;;;;;;;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10220714-1 ;
15;3;00009;14;;;;Joh: Tauleri nachfolgung des armen Lebens Christi. Franckfurt am Mayn 1692.;D. Joh. Tauleri Nachfolgung des armen Lebens Christi : In zwey Theil abgetheilet: Deren der erste sagt viele Unterschiede der wahren Armuth. Der ander lehret/ wie man soll kommen zu einem vollkommenen armen Leben ;Tauler, Johannes#118621009m;;;;;;;;;Frankfurt/Main#getty7005293;;;Fievet, Philipp <II.>#1037532392m;;;1692;4°;Catalogus I;Theologie;Ordensliteratur: Dominikaner | Erbauungsliteratur;Druck;ger;VD17;23:249790L;;;;;;;;;;;;KEYPhttp://www.gbv.de/vd/vd17/23:249790L;
16;4;00010;15;;;;Hand=Concordantz von Wenceslav Niederwerffern. Konigs=berg und Leipzig 1734.;Biblischer Kern und Stern: Darinnen als in einer bequemen Hand-Concordantz Die haupt-sprüche der gantzen heiligen Schrifft...Wobey eine kurtze biblische zeit-rechnung anzutreffen / Zusammen getragen von M. Wenceslao Niederwerffern ;Niederwerfer, Wenzel#131647695m;;;;;;;;;Königsberg#getty7013050;Leipzig#getty7139158 ;;Eckart, Christoph Gottfried#136030076m;;;1734;4°;Catalogus I;Theologie;Konkordanz;Druck;ger;VD18;1022629X;;;;;;;;;;;;http://digital.slub-dresden.de/ppn321643860;
17;4;00010;16;4;Teil 1-4;Teil 1-4;La manne celeste de l'ame, ou meditations sur des passages choisis de l'ecriture sainte, pour tous les jours de l'année par le pere Segneri. à Heidelberg 1717. Tom. i. ii. iii. iv.;"La Manne Celeste De L'Ame, Ou Meditations Sur Des Passages Choisis De L'Ecriture Sainte, Pour tous les jours de l'Année / Par Le Pere Segneri, De La Compagnie De Jesus. Traduites De L'Italien. Impression nouvelle divisée en quatre Volumes
 
";Segneri, Paolo#119468220m;;;;;;;;;Heidelberg#getty7005177;;;;;;1717-1719;4°;Catalogus I;Theologie;Ordensliteratur: Jesuiten;Druck;fre;VD18;13361945;;;;;;;;;;;;https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10223619-2;
18;4;00010;17;;;;Amadei Creutz=bergs Seelen erquickende Himmels Lust auff Erden. Nürnberg 1728.;Amadei Creutzbergs Seelen-erquickende Himmels-Lust Auf Erden : Welche in zweyhundert Betrachtungen, Theils Uber mancherley Geschöpfe Gottes, theils über allerhand innerliche und äusserliche Vorfallenheiten und Eigenschafften vieler Dinge...vorgestellet wird: Damit Gott-begierige Seelen zur kindlichen Liebe und Gehorsam gegen Gott...aufgemuntert und erbauet werden mögten: Mit Kupfern gezieret ;Sinold von Schütz, Philipp Balthasar#118797425m;;;;Puschner, Johann Georg#107838877m [STECHER];;;;;Nürnberg#getty7004334;;;Monath, Peter Konrad#117125644m;;;1728;4°;Catalogus I;Theologie;Erbauungsliteratur;Druck;ger;VD18;12369837;;;;;;;;;;;;http://purl.uni-rostock.de/rosdok/ppn867679018;
19;4;00010;18;;;;Wiederlegung der Atheisten, Deisten und Neuen Zweyfler aus dem Franzöischen übersezt. Prag 1712;Wiederlegung Der Atheisten, Deisten, Und Neuen Zweyffler: Darinnen man ohne ihre vermeyntlich-habende Gründe umzustossen, sie vermög ihrer eigner, dazu erlangten Vorbereitung überwindet, und ihnen darthut, und erweiset, daß sie keine andere Parthey nehmen, sondern den Christlichen Glauben ergreiffen sollen / [Michel Mauduit]. Auß dem Frantzösischen ins Deutsche übersetzt [von Franz Anton von Sporck] ;Mauduit, Michel#105565478Xm;;;;Sporck, Franz Anton von#118616382m [ÜBERSETZER];Birkhart, Anton#123018633m [BEITRÄGER];;;;Prag#getty7006464;;;Wickhart, Wolfgang#1089674805m;;;1712;4°;Catalogus I;Theologie;Streitschrift:theol.;Druck;ger;GBV;157177572;;;;;;;;;;;Mit dem angegebenen Format nicht nachgewiesen. ;http://digital.slub-dresden.de/ppn321373995;
20;4;00010;19;;Teil 1-7;Teil 1 ;J. G. Hagemanns Betrachtungen über die im ersten Buch Mosis beschriebene Geschichte von der Schöpfung der Welt, bis auff den Beruff Abrahams. Braunschweig 1734.;Erbauliche Betrachtungen, Erstes Buch, [Hauptw.]: Über die im ersten Buch Mosis beschriebene Geschichte von der Schöpfung der Welt bis auf den Beruf Abrahams : vormals in denen Wochen-Predigten der Gemeine zu Blankenburg vorgetragen, nunmehro auf Verlangen folgender gestalt zum Druck befordert ;Hagemann, Johann Georg#133306127m;;;;Schmidt, Johann Gottlieb#1073176665m [BEITRÄGER];;;;;Braunschweig#getty7004434;;;Meyer, Friedrich Wilhelm#1037501683m;;;1734;4°;Catalogus I;Theologie;Erbauungsliteratur;Druck;ger;VD18;90421124;;;;;;;;;;;;http://purl.uni-rostock.de/rosdok/ppn833837702;
21;4;00010;20;;Teil 1-7;Teil 1 ;item noch  einmahl;Erbauliche Betrachtungen, Erstes Buch, [Hauptw.]: Über die im ersten Buch Mosis beschriebene Geschichte von der Schöpfung der Welt bis auf den Beruf Abrahams : vormals in denen Wochen-Predigten der Gemeine zu Blankenburg vorgetragen, nunmehro auf Verlangen folgender gestalt zum Druck befordert ;Hagemann, Johann Georg#133306127m;;;;Schmidt, Johann Gottlieb#1073176665m [BEITRÄGER];;;;;Braunschweig#getty7004434;;;Meyer, Friedrich Wilhelm#1037501683m;;;1734;4°;Catalogus I;Theologie;Erbauungsliteratur;Druck;ger;VD18;90421124;;;;;;;;;;;;http://purl.uni-rostock.de/rosdok/ppn833837703;
22;5;00011;21;;Teil 1-7;Teil 1 ;it. noch einmal;Erbauliche Betrachtungen, Erstes Buch, [Hauptw.]: Über die im ersten Buch Mosis beschriebene Geschichte von der Schöpfung der Welt bis auf den Beruf Abrahams : vormals in denen Wochen-Predigten der Gemeine zu Blankenburg vorgetragen, nunmehro auf Verlangen folgender gestalt zum Druck befordert ;Hagemann, Johann Georg#133306127m;;;;Schmidt, Johann Gottlieb#1073176665m [BEITRÄGER];;;;;Braunschweig#getty7004434;;;Meyer, Friedrich Wilhelm#1037501683m;;;1734;4°;Catalogus I;Theologie;Erbauungsliteratur;Druck;ger;VD18;90421124;;;;;;;;;;;;http://purl.uni-rostock.de/rosdok/ppn833837704;
23;5;00011;22;;Teil 1-7;Teil 2;Ej: erste Fortsetzung der erbaulichen Betrachtungen Braunschweig 1735;Erbauliche Betrachtungen, Erstes Buch, Erste Fortsetzung: Über das erste Buch Mosis/ Und zwar über das Cap. XII. bis XXVII. beschriebene Leben Abrahams und Isaacs : vormals der Gemeine zu Blankenburg in denen Wochen-Predigten vorgetragen, nunmehro aber, auf Verlangen, folgender gestalt zum Druck befördert ;Hagemann, Johann Georg#133306127m;;;;;;;;;Braunschweig#getty7004434;;;Meyer, Friedrich Wilhelm#1037501683m;;;1735;4°;Catalogus I;Theologie;Erbauungsliteratur;Druck;ger;VD18;90421132;;;;;;;;;;;;http://purl.uni-rostock.de/rosdok/ppn833838814;
24;5;00011;23;;Teil 1-7;Teil 3;Ej: Zweite Fortsetzung über das I Buch Mosis. 1736. /: ist nebst: n: 21. weil das format etwas größer und es dahero bey denen andern theilen nicht stehen können, gleich dahinter in der ersten Reihe zu Ende gesetzt worden :/;Erbauliche Betrachtungen, Erstes Buch, Zweyte Fortsetzung: Über das erste Buch Mosis/ Und zwar über das Cap. XXVIII. bis L. beschriebene Leben Jacobs und Josephs : vormals in denen Wochen-Predigten der Gemeine zu Blankenburg vorgetragen, nunmehro aber, auf Verlangen, folgender gestalt zum Druck befördert;Hagemann, Johann Georg#133306127m;;;;;;;;;Braunschweig#getty7004434;;;Meyer, Friedrich Wilhelm#1037501683m;;;1736;4°;Catalogus I;Theologie;Erbauungsliteratur;Druck;ger;VD18;90421140;;;;;;;;;;;;http://purl.uni-rostock.de/rosdok/ppn833840371;
25;6;00012;;;;;ohne Einträge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;7;00013;24;;;;Les quarante homelies ou sermons de S. Gregoire le Grand, Pape. à Lyon 1692;Les Quarante homélies ou sermons de S. Grégoire le Grand, pape, sur les évangiles de l'année / traduits en françois;Gregor I., Papst#118541838m;;;;Louis-Charles-Albert, duc de Luynes#122075412m [ÜBERSETZER];Rey, Claude#1182002927 [DRUCKER/VERLEGER];;;;Lyon#getty7008772;;;Baritel, Hilaire#1037594460m  ;;;1692;8°;Catalogus I;Theologie;Predigtsammlung;Druck;fre;SUDOC;165274913  ;;;;;;;;;;;2 mögliche Drucker für 1692;Les Quarante homélies ou Sermons de S. Grégoire le Grand, pape sur les ... - Grégoire, I - Google Books;
27;7;00013;25;;;;Burnet Gottliche Leben in der Seelen des Menschen, aus dem Englischen übersetzt von Berchelmann. Frft am Mayn 1730.;"Das göttliche Leben in der Seelen des Menschen, als kläreste Beweiß von der Vortrefflichkeit, eigentlichen Natur, Absicht und Würckung der wahren christlichen Religion... /[Henry Scougal] Ehemahls im Engl. zu Londen mit e. Vorr. Burnets; nunmehro ... im hochteutschen hrsg. von Friederich Wilhelm Berchelmann ";Scougal, Henry#1055644644m;;;;Burnet, Gilbert#118674978m [VORREDNER];Berchelmann, Friedrich Wilhelm#116124938m [HERAUSGEBER];;;;Frankfurt/Main#getty7005293;;;Fleischer, Johann Friedrich#136000118m;;;1730;8°;Catalogus I;Theologie;Abhandlung: theol.;Druck;ger;GBV;151009597;;;;;;;;;;;;;
28;7;00013;26;2;Teil 1-3;Teil 1-3;E. Finens Erbauliche Reden über die Paßions-Geschicht, und andre Sprüche heiliger Schrift. Braunschw: 1710. 1. 2. u 3ter Theil in 2 Bänden.;"Eberhard Finens Erbauliche Reden über die Paßions-Geschicht/ und andere Sprüche Heiliger Schrifft Wie auch Einige Stücke des Catechismi : Zur Vorbereitung In denen Auf Hochstl. gnädigste Verordnung theils bey den ehemahligen Krancken-Bette/ theils bey den Gebrauch der warmen Bäder zu Wißbaden und Aachen/ auch nachgehends zu Braunschweig und Saltzdahlen angestellten Hauß-Betstunden/ gehalten...; nebst den Andern Theil... ";Finen, Eberhard#12131412Xm;;;;;;;;;Braunschweig#getty7004434;;;Zilliger, Johann Georg#138517894m;;;1710-1725;8°;Catalogus I;Theologie;Erbauungsliteratur | Gebetbuch;Druck;ger;VD18;12838292;;;;;;;;;;;;http://purl.uni-rostock.de/rosdok/ppn836218736;
29;7;00013;27;;;;J. L. Moßheims Zwo Predigten von der Ruhe der Seelen, und von den Kennzeichen der wahren Jünger Christi. Helmstedt 1733;Zwo Predigten Von der Ruhe der Seelen, die aus der wahren Liebe entstehet, und Von den Kennzeichen der wahren Jünger Christi, Vor ihro Königliche Majestät von Preussen...gehalten / dem Drucke überlassen von Johann Lorentz Mosheim, Abten von Marienthal und Michaelstein und der Heil. Schrifft öffentlichen Lehrern;Mosheim, Johann Lorenz von#118737147m;;;;;;;;;Helmstedt#getty7005247edt;;;Weygand, Christian Friedrich#115606084m;;;1733;8°;Catalogus I;Theologie;Predigtsammlung;Druck;ger;VD18;10222707;;;;;;;;;;;;http://digital.slub-dresden.de/ppn321241746;
30;7;00013;28;;;;item noch ein mahl.;Zwo Predigten Von der Ruhe der Seelen, die aus der wahren Liebe entstehet, und Von den Kennzeichen der wahren Jünger Christi, Vor ihro Königliche Majestät von Preussen...gehalten / dem Drucke überlassen von Johann Lorentz Mosheim, Abten von Marienthal und Michaelstein und der Heil. Schrifft öffentlichen Lehrern;Mosheim, Johann Lorenz von#118737147m;;;;;;;;;Helmstedt#getty7005247edt;;;Weygand, Christian Friedrich#115606084m;;;1733;8°;Catalogus I;Theologie;Predigtsammlung;Druck;ger;VD18;10222707;;;;;;;;;;;;http://digital.slub-dresden.de/ppn321241747;
31;7;00013;29;;;;A. H. Franckens Catechismus Predigten. Halle 1726.;August Hermann Franckens, S. Th. Pr. Past. Vir. & Schol. Catechismus-Predigten : Darinnen Die V. Hauptstücke des kleinen Catechismi Lutheri, zu gründlicher Erbauung im wahren thätigen Christenthum, abgehandelt sind / gehalten In der Kirche zur L. Frauen zu Halle, im Hertzogthum Magdeburg;Francke, August Hermann#118534688m;;;;;;;;;Halle#getty1036898;;;;;;1726;8°;Catalogus I;Theologie;Predigtsammlung;Druck;ger;VD18;10756450;;;;;;;;;;;;http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10459114-7;
32;7;00013;30;;;;Traité ou est examineé a fond la question agiteé en ce temps. Scavoir si un protestant, laissant la religion protestante pour embrasser celle de Rome, peut se sauver dans la communion Romaine, composé en Anglois par Ms. Stillingfleet à Londre 1673.;Traité Ou est Examinée a fond la Question Agitée en ce temps : Scavoir si un Protestant, laissant la Religion Protestante, pour embrasser celle de Rome, peut se sauver dans la Communion Romaine / Composé en Anglois par Monsieur Stillingfleet, Dr. en Theologie, & Chapelain Ordinaire de sa Majesté Britannique.;Stillingfleet, Edward#11879888Xm;;;;Champion, Louis#112284610Xm [ÜBERSETZER];Le Blanc, Robert [DRUCKER];;;;London#getty7011781;;;Mortlock, Henry#1037536207m;;;1673;8°;Catalogus I;Theologie;Traktat;Druck;fre;GBV;151141177;;;;;;;;;;;;http://gateway.proquest.com/openurl?ctx_ver=Z39.88-2003&res_id=xri:eebo&rft_id=xri:eebo:image:152418;
33;8;00014;31;;;;Der leidende Christus von Erdmann Neumeistern Hamburg 1728.;Der leidende Christus aus Mose den Propheten und den Psalmen in 21 Predigten;Neumeister, Erdmann#1145484611m;;;;;;;;;Hamburg#getty7005289;;;;;;1728;8°;Catalogus I;Theologie;Predigtsammlung;Druck;ger;SWB;033430438   ;;;;;;;;;;;;;
34;8;00014;32;;;;H. Dittons Warheit der Christl. Religion, nebst Vorrede des Abt Mosheims. Braunschweig u Hildesheim 1734.;Die Wahrheit Der Christlichen Religion, Aus der Auferstehung Jesu Christi Auf eine demonstrativische Art in drey Theilen bewiesen, durch Humfredum Ditton, Weyland Lehrer der Mathematik im Hospital Christi zu London : Nebst einem Anhange, Darinn die wichtigsten Stücke der natürl. Religion abgehandelt werden / Anfangs In Englischer Sprache herausgegeben, Nun aber auf vielfältiges Verlangen in die Deutsche übersetzt, Mit Anmerckungen, Registern, dem Leben des Verfassers, Und einer Vorrede Sr. Hochw. des Herrn Abt Mosheims. Vermehret durch Gabriel Wilhelm Goetten, Pastor zu St. Mich. in Hildesheim ;Ditton, Humphrey#1017730709m;;;;Mosheim, Johann Lorenz von#118737147m [VORREDNER];Götten, Gabriel Wilhelm#116733462m;;;;Braunschweig#getty7004434;Hildesheim#getty7005248;;;;;1734;8°;Catalogus I;Theologie;Abhandlung: theol.;Druck;ger;VD18;12733369;;;;;;;;;;;;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv035220482-8;
