sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
weltwissen10,,,,1,"Leichen Predigten, und Carmina auf den seel. Todt des Hochseeligen Fürsten Zu Anhalt Christian Augusts &c.","Unverwelklich grünende Palmen Unsterblicher Tugenden und Verdienste Auf dem Granbe Des weiland durchlauchtigsten Fürstens ... Christian Augusts Regierenden Fürstens zu Anhalt ... ","Unverwelklich grünende Palmen",,,,,,,,,Zerbst#getty7012892,,"Bernuth, Gottfried Heinrich",1747,Folio,,Theologie;Geschichte,,,ger,,,HAB,"M: Gm 2° 20",,,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=165025891,"Einziges Exemplar"
weltwissen11,,,,1,"Das grosse Cantional oder Kirchen-Gesang-Buch","Das grosse Cantional, Oder: Kirchen-Gesangbuch, Jn welchem Nicht allein D. Martin Luthers ... geistreiche Lieder begriffen ...","Das grosse Cantional oder Kirchen-Gesangbuch",,,,,,,,,Darmstadt,,"Müller, Henning",1687,Folio,,Theologie;Musik,,,ger,VD17,12:122177D,,,,,,,,,,1,,,,,,
weltwissen12,,,,2V1,"Le Dictionnaire des Cas de Conscience p.","Le Dictionaire Des Cas De Conscience, Decidés Suivant Les Principes De La Morale ...","Le dictionaire des cas de conscience",,,,,,,,,Paris#getty7008038,,"Coignard, Jean-Baptiste;Guérin, Hippolyte-Louis",1733,Folio,,Kasuistik;Philosophie;Theologie,,,fre,,,HAB,"M: Te 2° 6","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1)",,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=149913796,"Altsignatur: P. I. c"
weltwissen13,,,,2V1,"Superstitions anciennes, & modernes &c.","Superstitions Anciennes Et Modernes, Prejugés Vulgaires Qui ont induit les Peuples à des usages ...","Superstitions anciennes et modernes",,,,,,,,,Amsterdam#getty7006952,,"Bernard, Jean Frédéric",1733-1736,Folio,,Theologie;Kulturgeschichte,,,fre,GBV,"360377246; 360378358",,,,,,,,,,1,"Teil 1-2; Exemplar mit Provenienz PC bzw. Montbail",,,,,
weltwissen14,,,,3V1,"Ancienne, et nouvelle Discipline de l’Eglise","Ancienne Et Nouvelle Discipline De L'Eglise Touchant Les Benefices Et Les Beneficiers","Ancienne et nouvelle discipline de l'église",,,,,,,,,Paris#getty7008038,,"Muguet, François",1679-1682,Folio,,Theologie;Kirchenrecht,,,fre,,,HAB,"M: Rb 2° 49","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1-3)",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=144320495,
weltwissen15,,,,2V1,"Histoire des Traités de Paix, et autres Negotiations du dix-septième Siecle","Histoire Des Traités De Paix, Et autres Negotiations Du dix-septième Siècle, Depuis la Paix De Vervins, Jusqu'à la Paix de Nimegue","Histoire des traités de paix et autres negotiations du dix-septième siècle depuis la paix de Vervins jusqu'à la paix de Nimegue",,,,,,,,,Amsterdam#getty7006952,"Den Haag#getty7006810","Bernard, Jean Frédéric;Vaillant, Isaac",1725,Folio,,Geschichte,,,fre,GBV,"033645957; 033645965",,,,,,,,,,1,"Teil 1-2",,,,,
weltwissen16,,,,5V1,"Histoire de la Ville de Paris","Histoire De La Ville De Paris","Histoire de la ville de Paris",,,,,,,,,Paris#getty7008038,,"Desprez, Guillaume",1725,Folio,,Geschichte;Kulturgeschichte,,,fre,GBV,"183343980; 183344057; 183344138; 183344235; 183344324",,,,,,,,,,1,"Teil 1-5",,,,,
weltwissen17,,,,1,"Johannis Aventini Beyerische Chronika","Johannis Auentini Chronica, Darinn nicht allein deß ... Hauß Beyern ... Herkommen ..., sondern auch der ... Teutschen Vrsprung ... beschrieben",Chronica,,,,,,,,,"Frankfurt am Main#getty7005293",,"Feyerabend, Johann;Feyerabend, Sigmund",1580,Folio,,Geschichte;Genealogie,,,ger,VD16,"T 2321",,,,,,,,,,1,,,,,,
weltwissen18,,,,1,"Conradi Agricolae Teutsche Biblische Concordanzen","Concordantiæ Bibliorum Emendatæ ac ferè novæ, Das ist: Biblische Concordantz ...","Concordantiae bibliorum ... das ist biblische Concordantz",,,,,,,,,"Frankfurt am Main#getty7005293",,"Friderici, Johann",1674,Folio,,Theologie;Bibelkunde,,,ger,,,HAB,"M: Tb 2° 2","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=536640998,
weltwissen19,,,,1,"Sleidanus verus, & continuatus. Das ist: Beschreibung aller fürnehmen Händel, und Geschichten, so sich in Glaubens, und weltlichen Sachen bis 1620. zugetragen haben","Ioan. Sleidani Veri Et Ad Nostra tempora usque continuati Das ist, Warhafftige Beschreibung allerley fürnemmer Händel vnd Geschichten ...","Warhafftige Beschreibung allerley fürnemmer Händel und Geschichten ...",,,,,,,,,Straßburg#getty7012346,,"Heyden, Christoph von der",1625,Folio,,Theologie;Geschichte;Religionsgeschichte,,,ger,GBV,"233719687; 233719822; 233719857; 23371992X; 233719946",,,,,,,,,,1,"Teil 1-5; vermutlich Provenienz ESM: M: Gl 2° 96 (Einband; Titelschild)",,,,,
weltwissen20,,,,4V1,"Le grand Dictionnaire historique","Le Grand Dictionaire Historique, Ou Le Mêlange Curieux De L'Histoire Sacrée Et Profane ...","Le grand dictionaire historique ou le mélange curieux de l'histoire sacrée et profane ...",,,,,,,,,Paris#getty7008038,,"Coignard, Jean-Baptiste","1699 oder 1707",Folio,,Geschichte;Lexikographie,,,fre,GBV,"22279836X; 222798408; 222798416; 222798521 bzw. 222799323; 222804653; 222804734; 222804777",,,,,,,,,,1,"Vermutlich Provenienz ESM: M: Ga 2° 10 (einziges Exemplar)",,,,,
weltwissen21,,,,4V1,"Recueil des Traitez de Paix. p.","Recueil Des Traitez De Paix, De Trêve, De Neutralité, De Suspension D'Armes, De Confédération, D'Alliance, De Commerce, De Garantie, Et D'Autres Actes Publics ... ","Recueil des traitez de paix, de trêve, de neutralité, de suspension d'armes, de confédération, d'alliance, de commerce, de garantie et d'autres actes publics ...",,,,,,,,,Amsterdam#getty7006952,"Den Haag#getty7006810","Dirk Booms Witwe;Boom, Hendrick",1700,Folio,,Rechtswissenschaft,,,fre,GBV,"14114954X; 141149558; 141149566",HAB,"Xd 2° 98","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1)",,,,,,,1,"Teil 1-4",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=141149531,"Altsignatur: E. b.; nur Teil 1 vorhanden"
weltwissen22,,,,22V1,"D. M. Luthers sämtliche Schriften, und Werke","Des Theuren Mannes Gottes, D. Martin Luthers Sämtliche Theils von Ihm selbst Deutsch verfertigte, theils aus dessen Lateinischen ins Deutsche übersetzte Schrifften und Wercke","Sämtliche Schrifften und Wercke",,,,,,,,,Leipzig#getty7012329,,"Zedler, Johann Heinrich",1729-1734,Folio,,Theologie;Kirchengeschichte,,,ger,,,HAB,"M: Li 2° 100","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 11-22)",,,,,,,1,"Teil 1-22",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151901546,"Gestaltung des Einbandes identisch, aber zwei Varianten des Spiegels: Bd. 1-10 (1729-1730) bzw. Bd. 11-22 (1731-1734)"
weltwissen23,,,,1,"M. Joh. Jac. Greiffs vollständige Register über die XXII. Leipziger Theile D. M. Luthers Schriften"," M. Johann Jacob Greiffs, Pastoris in Mölbis, Vollständige Register über die XXII Leipziger Theile der gesammten Schriften Des seligen D. Martin Luthers ...","Vollständige Register über die gesammten Schriften Martin Luthers",,,,,,,,,Leipzig#getty7012329,,"Breitkopf, Bernhard Christoph",1740,Folio,,Theologie;Religionsgeschichte,,,ger,,,HAB,"M: Li 2° 100","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151901627,"Als Band (=Teil) 23 der Ausgabe gezählt"
weltwissen24,,,,1,"Colloquia, oder Tisch-Reden D. M. Luthers, nebst dessen Prophezeyungen","Colloqvia, oder Tisch-Reden, und andere Christliche, sehr erbauliche Gespräche Des Hocherleuchteten Mannes Gottes D. Martin Luthers ...","Colloquia oder Tisch-Reden und andere Gespräche",,,,,,,,,Leipzig#getty7012329,Dresden#getty7004455,"Zimmermann, Johann Christoph;Gerlach, Johann Nikolaus",1723,Folio,,Theologie;Religionsgeschichte,,,ger,,,HAB,"M: Li 4° 340","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151878986,"Altsignatur: L. c. 7"
weltwissen25,,,,5V1,"Allgemeine Schaubühne der Welt. oder Jahrgeschichte des XVII.ten Seculi","Allgemeine Schau-Bühne der Welt, Oder: Beschreibung der vornehmsten Welt-Geschichte, So sich von Anfang dieses Siebenzehenden Jahr-Hunderts Biß zum Ende desselben ... begeben","Allgemeine Schau-Bühne der Welt oder Beschreibung der vornehmsten Welt-Geschichte",,,,,,,,,"Frankfurt am Main#getty7005293",,"Zunner, Johann David;Jung, Johann Adam",1699-1731,Folio,,Geschichte,,,ger,,,HAB,"M: Ge 2° 4","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 2-5)",,,,,,,1,"Teil 1-5",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=138236321,
weltwissen26,,,,4V1,"Histoire d’Angleterre d’ecosse, et d’Irlande","Histoire d'Angleterre, d'Écosse et d'Irlande","Histoire d'Angleterre, d'Écosse et d'Irlande",,,,,,,,,Rotterdam#getty7006792,,"Leers, Reinier",1697-1713,Folio,,Geschichte,,,fre,GBV,"124032788; 12403280X; 124032818; 124032826",,,,,,,,,,1,"Teil 1-4",,,,,
weltwissen27,,,,2V1,"Oeuvres de Nicolas Boileau Despreaux","Oeuvres de Nicolas Boileau Despreaux ...",Oeuvres,,,,,,,,,Amsterdam#getty7006952,,"Mortier, David",1718,Folio,,Literaturgeschichte;Geschichte,,,fre,,,HAB,"M: Lm 2° 2","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1-2)",,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151421129,"Altsignatur: P. I. e. 1-2"
weltwissen28,,,,2V1,"Annales des Provinces unies","Annales Des Provinces-Unies","Annales des Provinces-Unies",,,,,,,,,"den Haag#getty7006810",,"Le Vier, Charles",1719-1726,Folio,,Geschichte,,,fre,STCN,"202161811; 304655341",,,,,,,,,,1,"Von Exemplar M: Gp 2° 4 und Exemplar Schulenb. Gh 2° 2a jeweils nur Bd. 2 der Ausgabe vorhanden; vorhandenes vollständiges Exemplar mit Provenienz LR",,,,,
weltwissen29,,,,3V1,"Histoire de France depuis Faramond jusqu’au Regne de Louis le juiste. p.","Histoire de France, Depuis Faramond Jusqu'au Regne De Louis Le Juste","Histoire de France depuis Faramond jusqu'au regne de Louis le Juste",,,,,,,,,,,"Thierry, Denys II.;Guignard, Jean",1685,Folio,,Geschichte,,,fre,,,HAB,"M: Gk 2° 57",,,,,,,,1,"Teil 1-3",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=221768262,"Einziges Exemplar"
weltwissen30,,,,3V1,"Allgemeines Biblisches Lexicon","Allgemeines Biblisches Lexicon, Jn welchem nebst denen Namen, das Wesen derer Sachen, das ist, so weit davon in heiliger Schrifft Erwehnung geschiehet, ... Jn Alphabetischer Ordnung ... beschrieben ...","Allgemeines biblisches Lexicon",,,,,,,,,"Frankfurt am Main#getty7005293",,"Knoch, Friedrich Daniel;Waldau, Christian Friedrich",1730,Folio,,Theologie;Bibelkunde;Lexikographie,,,ger,,,HAB,"M: Tb 2° 23","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1-3)",,,,,,,1,"Teil 1-3",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151008906,"Altsignatur: M. e. 1-3 (gestrichen: L. b. 10-12)"
weltwissen31,,,,1,"Histoire Generale des Eglises Evangeliques des Vallees de Piemont, ou Vaudoises","Histoire Generale Des Eglises Evangeliques Des Vallees De Piemont; Ou Vaudoises","Histoire générale des églises évangeliques des vallées de Piemont ou Vaudoises",,,,,,,,,Leiden#getty7006809,,"Carpentier, Jean-Baptiste",1669,Folio,,Theologie;Kirchengeschichte,,,fre,,,HAB,"M: Tq 2° 28","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=150093276,"Altsignatur: K. b. 3 (gestrichen: K. b. 6); 1-2 in einem Band"
weltwissen32,,,,1,"Codex Dipplommaticus Quedlinburgensis","Codex Diplomaticvs Qvedlinbvrgensis","Codex diplomaticus Quedlinburgensis",,,,,,,,,"Frankfurt am Main#getty7005293",,"Möller, Reinhard Eustachius",1764,Folio,,Geschichte;Diplomatik;Kodikologie,,,lat,VD18,15240762,,,,,,,,,,1,,,,,,
weltwissen33,,,,1,"Concordantiae Bibliorum","Concordantiae Bibliorum, Das ist Biblische Concordantz und Verzeichnuß der Fürnembsten Wörter ...","Concordantiae bibliorum",,,,,,,,,"Frankfurt am Main#getty7005293",,"Ruland, Johann;Ruland, Nikolaus",1621,Folio,,Theologie;Bibelkunde,,,lat,,,HAB,"M: Tb 2° 1",,,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=53664098X,"Einziges Exemplar; Titelblatt beschädigt"
weltwissen34,,,,1,"[Herrn] Heinrich August Wilhelm ErbPrintz [von] Nassau Leichen-Predigten, Parentationes, [Ca]rmina pp.","Die unvergleichlich schöne Sieges-Palmen ...","Die unvergleichlich schöne Sieges-Palmen",,,,,,,,,Herborn#getty1039554,,"Andreae, Johann Nikolaus",1718,Folio,,Theologie;Geschichte,,,ger;lat,VD18,12893552,,,,,,,,,,1,"Exemplar ist Sammelband mit 11 Werken",,,,,
weltwissen35,,,,4V1,"Dictionnaire universel François, & Latin","Dictionnaire Universel François & Latin","Dictionnaire universel françois et latin",,,,,,,,,Trévoux#getty7009510,,"Ganeau, Etienne",1704,Folio,,Sprachwissenschaft;Lexikographie,,,fre;lat,GBV,"151912378; 593007417; 593007433; 151912386",,,,,,,,,,1,"Teil 1-4; Exemplar vermutlich Provenienz ESM (einziges Exemplar, Vorbesitz: Justus Christoph Böhmer)",,,,,
weltwissen36,,,,1,"Quatuordecim Tabulae Genealogicae, quibus exhibentur praecipuae Familiae hodiernorum Principum Imperii","Quatuordecim Tabulæ Genealogicæ, Quibus exhibentur Præcipuæ Familiæ Hodiernorum Principum Imperii","Quatuordecim tabulae genealogicae quibus exhibentur praecipuae familiae hodiernorum principum imperii",,,,,,,,,Tübingen#getty7004426,,"Cotta, Johann Georg;Reis, Johann Heinrich",1685,Folio,,Geschichte;Genealogie,,,lat,VD17,14:018375V,,,,,,,,,,1,,,,,,
weltwissen37,,,,2V1,"Francisci. Philippi. Florini Oeconomus prudens, & legalis. oder allgemeiner Klug- und Rechts-verständiger Haus-Vater","Francisci Philippi Florini ... Oeconomvs Prvdens Et Legalis. Oder Allgemeiner Klug- und Rechts-verständiger Haus-Vatter, bestehend Jn Neun Büchern ...","Oeconomus prudens et legalis oder allgemeiner Klug- und Rechts-verständiger Haus-Vatter",,,,,,,,,Nürnberg#getty7004334,,"Riegel, Christoph;Knorz, Johann Leonhard",1705,Folio,,Ökonomie;Landwirtschaft;Pädagogik,,,ger,VD18,10437002,,,,,,,,,,1,"Exemplar mit Provenienz LR (Buch 1-9 in 2 Bänden)",,,,,
weltwissen38,,,,5V1,"Histoire Generale de France, avec l’Estat de l’Eglise, et de l’Empire","Histoire Generale De France Avec L'Estat De L'Eglise Et De L'Empire","Histoire générale de France avec l'estat de l'église et de l'empire",,,,,,,,,Paris#getty7008038,,"Béchet, Denis;Billaine, Louis",1652-1663,Folio,,Geschichte;Kirchengeschichte;Staatswissenschaften,,,fre,,,HAB,"M: Gk 2° 25","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:” (Band 1-5)",,,,,,,1,"Teil 1-8",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=180539590,"Altsignatur: P. I. b. 1-5"
weltwissen39,,,,1,"Cosmographey, Das ist: Beschreibung aller Länder, Herrschaften, und fürnemsten Städten des ganzen Erdtbodens pp.","Cosmographey: das ist, Beschreibung Aller Länder, Herrschafften vnd fürnemesten Stetten des gantzen Erdbodens, sampt jhren Gelegenheiten, Eygenschafften, Religion, Gebräuchen, Geschichten vnd Handtierungen, &c.","Cosmographey, das ist Beschreibung aller Länder, Herrschaften und fürnemsten Stetten des ganzen Erdtbodens ...",,,,,,,,,Basel#getty7007269,,"Henricpetri, Sebastian;Henricpetri, Sixtus",1598,Folio,,Geographie;Topographie,,,ger,,,HAB,"A: 5.2.1 Geogr. 2°","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=139308318,
weltwissen40,,,,1,"Historische Stamm-Tafeln der Kayserlichen Königlichen und Fürstlichen Geschlechter","Historische Stamm-Tafeln Der Käyserlichen, Königl. und Fürstlichen Geschlechte, Welche in denen Europäischen Ländern, nach dem Verfall der Römischen Monarchie biß gegenwärtige Zeit, regieret haben","Historische Stamm-Tafeln der kayserlichen, königl. und fürstlichen Geschlechte, welche in denen europäischen Ländern nach dem Verfall der Römischen Monarchie biß gegenwärtige Zeit regieret haben",,,,,,,,,"Frankfurt am Main#getty7005293",Leipzig#getty7012329,"Lipper, Johann Georg",1701,Folio,,Geschichte;Genealogie,,,ger,VD18,14606291,,,,,,,,,,1,,,,,,
weltwissen41,,,,1,"L’Histoire de la Decadence de l’Empire Grec &c.","L'Histoire de la décadence de l'empire grec, et establissement de celuy des Turcs","L'Histoire de la décadence de l'empire grec et establissement de celui des Turcs",,,,,,,,,,,"Guillemot, Mathieu III.;Guillemot, Marie",1632,Folio,,Geschichte;Altertumskunde,,,fre,,,HAB,"M: Gv 2° 24","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151627401,"Altsignatur: P. I. e. 3; Erscheinungsjahr auf dem Titelblatt beschädigt"
weltwissen42,,,,3V1,"Oeuvres diverses de Mons. Arnauld d’Andilly","Oevvres Diverses De Monsievr Arnavld D'Andilly","Oeuvres diverses",,,,,,,,,Paris#getty7008038,,"LePetit, Pierre",1675,Folio,,Theologie;Religionsgeschichte,,,fre,,,HAB,"M: Lm 2° 1","“ELISABETH SOPHIA MARIA. Verwittwete HERZOGINN ZU BR. U. LUN:"" (Band 3)",,,,,,,1,"Teil 1-3",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=150747659,
weltwissen43,,,,1,"Les Oeuvres de Sainte Therese","Les Oeuvres de Sainte Therérèse",Oeuvres,,,,,,,,,Paris#getty7008038,,"LePetit, Pierre",1670,Folio,,Theologie;Religionsgeschichte,,,fre,,,HAB,"M: Lm 2° 27",,,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151816689,"Einziges Exemplar"
weltwissen44,,,,1,"Memoires, & Negociations secretes de la Cour de France touchant la Paix de Münster","Memoires Et Negociations Secretes De La Cour de France, Touchant La Paix De Munster ...","Mémoires et négociations secrètes de la cour de France touchant la paix de Münster",,,,,,,,,Amsterdam#getty7006952,,"Chatelain, Zacharias;Chatelain, Isaac Samuel",1710,Folio,,Geschichte,,,fre,GBV,140348581,,,,,,,,,,1,,,,,,
